ufficio,2019-01-01,ubi,298236,5,2018-08-13,2016-12-28,2,4942.695000000001,2196.817
ufficio,2019-01-01,ubi,298236,5,2015-11-05,2016-12-21,2,4942.695000000001,2196.817
ufficio,2019-01-01,ubi,298236,5,2017-07-19,2018-08-19,1,4942.695000000001,2196.817
ufficio,2019-01-01,ubi,298236,5,2016-09-24,2018-12-20,0,4942.695000000001,2196.817
ufficio,2019-01-01,ubi,399765,1,2019-01-28,2019-02-01,0,12761.804,11428.893999999998
ufficio,2019-01-01,ubi,399765,1,2016-05-26,2018-01-17,1,12761.804,11428.893999999998
ufficio,2019-01-01,ubi,399765,1,2017-11-27,2018-03-26,,12761.804,11428.893999999998
ufficio,2019-01-01,ubi,399765,1,2018-08-06,2017-02-04,1,12761.804,11428.893999999998
ufficio,2019-01-01,ubi,399765,1,2018-02-10,2017-05-09,,12761.804,11428.893999999998
ufficio,2019-01-01,ubi,399765,1,2017-11-26,2017-04-20,1,12761.804,11428.893999999998
ufficio,2019-01-01,ubi,399765,1,2016-10-02,2015-12-31,1,12761.804,11428.893999999998
ufficio,2019-01-01,ubi,399765,1,2017-07-28,2015-10-27,,12761.804,11428.893999999998
ufficio,2019-01-01,ubi,399765,1,2017-11-13,2018-03-22,0,12761.804,11428.893999999998
ufficio,2019-01-01,ubi,399765,1,2018-09-15,2017-01-27,0,12761.804,11428.893999999998
ufficio,2019-01-01,ubi,413656,,2018-10-31,2017-12-15,,6339.802,4063.5499999999997
ufficio,2019-01-01,ubi,413656,,2019-04-29,2016-06-01,,6339.802,4063.5499999999997
ufficio,2019-01-01,ubi,413656,,2016-05-02,2018-02-20,0,6339.802,4063.5499999999997
ufficio,2019-01-01,ubi,413656,,2019-04-16,2018-01-16,1,6339.802,4063.5499999999997
ufficio,2019-01-01,ubi,413656,,2015-06-07,2015-11-20,1,6339.802,4063.5499999999997
