ufficio-bpm,2018-07-01,bpm,AL,201510,201511,PASTDUE,S,C,3,7584.0,7813.0
ufficio-bpm,2018-07-01,bpm,AL,201510,201511,PASTDUE,S,C,3,9799.0,3512.0
ufficio-bpm,2018-07-01,bpm,AL,201510,201511,PASTDUE,S,C,3,9659.0,3002.0
ufficio-bpm,2018-07-01,ubi,IM,201702,201703,PASTDUE,S,C,1,3668.0,8876.0
ufficio-bpm,2018-07-01,ubi,IM,201711,201712,PASTDUE,S,C,2,5245.0,2323.0
ufficio-bpm,2018-07-01,ubi,IM,201711,201712,PASTDUE,S,C,2,7714.0,7203.0
ufficio-bpm,2018-07-01,ubi,IM,201903,201904,PASTDUE,S,A,4,6807.0,8610.0
ufficio-bpm,2018-07-01,ubi,IM,201903,201904,PASTDUE,S,A,4,8104.0,4434.0
ufficio-bpm,2018-07-01,ubi,IM,201903,201904,PASTDUE,S,A,4,1339.0,6823.0
ufficio-bpm,2018-07-01,ubi,IM,201903,201904,PASTDUE,S,A,4,5724.0,5842.0
