ufficio-bpm,2018-07-01,bancamarche,AL,201508,201509,PASTDUE,S,C,3,1013.0,1092.0
ufficio-bpm,2018-07-01,bancamarche,AL,201508,201509,PASTDUE,S,C,3,8937.0,7896.0
ufficio-bpm,2018-07-01,bancamarche,AL,201508,201509,PASTDUE,S,C,3,7200.0,7565.0
ufficio-bpm,2018-07-01,bancamarche,AL,201612,201701,PASTDUE,S,C,2,3852.0,1364.0
ufficio-bpm,2018-07-01,bancamarche,AL,201612,201701,PASTDUE,S,C,2,5737.0,5651.0
ufficio-bpm,2018-07-01,bancamarche,IM,201810,201811,PASTDUE,S,A,1,1553.0,2025.0
ufficio-bpm,2018-07-01,bpm,PR,201509,201510,PASTDUE,N,C,1,1568.0,1274.0
ufficio-bpm,2018-07-01,ubi,AL,201607,201608,PASTDUE,S,C,3,2759.0,5671.0
ufficio-bpm,2018-07-01,ubi,AL,201607,201608,PASTDUE,S,C,3,5046.0,5066.0
ufficio-bpm,2018-07-01,ubi,AL,201607,201608,PASTDUE,S,C,3,7342.0,3787.0
ufficio-bpm,2018-07-01,ubi,PR,201803,201804,PASTDUE,S,C,2,9859.0,7173.0
ufficio-bpm,2018-07-01,ubi,PR,201803,201804,PASTDUE,S,C,2,9632.0,8444.0
