bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
bpm,287458,20180413,20180513
