bancamarche,277976,20190212,causale20190212,4628,,,
bancamarche,302432,20170517,causale20170517,3825,,,
bancamarche,397271,20170713,causale20170713,349,,,
bpm,333362,20171208,causale20171208,3065,,,
bpm,413476,20170311,causale20170311,1832,,,
bpm,442429,20180830,causale20180830,3891,,,
bpm,475594,20151116,causale20151116,3464,,,
bpm,497882,20160627,causale20160627,2881,,,
ubi,285911,20180319,causale20180319,635,,,
ubi,347568,20170331,causale20170331,426,,,
ubi,348054,20181205,causale20181205,2401,,,
ubi,369588,20190518,causale20190518,1304,,,
ubi,404951,20170322,causale20170322,4805,,,
ubi,459049,20161004,causale20161004,3409,,,
